market,period,window,horizon,tail_prob,x,y,n,pearson,spearman,spearman_p
bonds,baseline_2018,252,63,0.025,dr_es_concentration,n_assets,86,0.17544865531918147,0.19529147944631134,0.07155319663156195
bonds,baseline_2018,252,63,0.025,dr_es_concentration,future_es,86,-0.0019469334281885771,-0.11916286985581562,0.2744817648411718
bonds,baseline_2018,252,63,0.025,dr_es_concentration,future_var,86,-0.16295268456260703,-0.16742465827676917,0.12336292409762677
bonds,baseline_2018,252,63,0.025,dr_es_concentration,future_rv_ann,86,-0.06296575164093106,-0.1988678711259965,0.06641403578420252
bonds,baseline_2018,252,63,0.025,dr_es_concentration,future_mdd,86,0.07448677679566808,0.12664103595757986,0.24526779123123366
bonds,baseline_2018,252,63,0.025,dr_es_concentration,future_tail_event,86,0.08052904025355519,0.09034955198931569,0.4080667005930009
bonds,baseline_2018,252,63,0.025,current_es,current_rv_ann,86,0.972810375336007,0.9500716228689521,2.9711530352476984e-44
bonds,baseline_2018,252,63,0.025,current_es,current_hill_alpha,86,-0.20017544048760957,-0.06460873130918053,0.5545155667891581
bonds,baseline_2018,252,63,0.025,current_es,n_assets,86,0.07117298867237178,-0.026818252549027023,0.8063735472576505
bonds,baseline_2018,252,63,0.025,current_es,future_es,86,-0.004137651124721029,0.10992424827886911,0.31367730607605454
bonds,baseline_2018,252,63,0.025,current_es,future_var,86,0.018921858656435805,0.2140170176767674,0.047854312026960014
bonds,baseline_2018,252,63,0.025,current_es,future_rv_ann,86,0.02702007557026189,0.12010403498573846,0.2706818966085866
bonds,baseline_2018,252,63,0.025,current_es,future_mdd,86,-0.04314483802293318,0.017835737725958548,0.8705228136969339
bonds,baseline_2018,252,63,0.025,current_es,future_tail_event,86,-0.17936121255596127,-0.2621933773071707,0.014739013235553239
bonds,baseline_2018,252,63,0.025,current_rv_ann,current_hill_alpha,86,-0.060429435947081576,0.08155542054380568,0.4553705833289281
bonds,baseline_2018,252,63,0.025,current_rv_ann,n_assets,86,0.04268247433625931,-0.003829244695025712,0.9720865647794075
bonds,baseline_2018,252,63,0.025,current_rv_ann,future_es,86,-0.05974054970103601,0.023570262799891318,0.8294453202181511
bonds,baseline_2018,252,63,0.025,current_rv_ann,future_var,86,-0.025325900891038786,0.12785190034097285,0.2407470065208045
bonds,baseline_2018,252,63,0.025,current_rv_ann,future_rv_ann,86,-0.035242869287521655,0.020274541251945846,0.8530046369342769
bonds,baseline_2018,252,63,0.025,current_rv_ann,future_mdd,86,-0.10242633306762544,-0.0733259428937131,0.5022520942603131
bonds,baseline_2018,252,63,0.025,current_rv_ann,future_tail_event,86,-0.24425857386757846,-0.37417013415470524,0.00038673785004153337
bonds,baseline_2018,252,63,0.025,current_hill_alpha,n_assets,86,-0.07060828409899189,-0.1468466050722939,0.177273077476318
bonds,baseline_2018,252,63,0.025,current_hill_alpha,future_es,86,-0.10371779955355905,-0.14546175901717567,0.1814390204378979
bonds,baseline_2018,252,63,0.025,current_hill_alpha,future_var,86,-0.11005508205465947,-0.06350794803492575,0.5612962081374335
bonds,baseline_2018,252,63,0.025,current_hill_alpha,future_rv_ann,86,-0.13076214502915526,-0.13400345572051303,0.21867125333300175
bonds,baseline_2018,252,63,0.025,current_hill_alpha,future_mdd,86,-0.1882140032185277,-0.22889100262665937,0.03402155235140502
bonds,baseline_2018,252,63,0.025,current_hill_alpha,future_tail_event,86,-0.3850743575892976,-0.4296874707120446,3.649216274608792e-05
bonds,baseline_2018,252,63,0.025,n_assets,future_es,86,0.021423141662114918,-0.04978675738932236,0.6489439545229183
bonds,baseline_2018,252,63,0.025,n_assets,future_var,86,0.041204771330025786,-0.008936000331876833,0.9349186410335416
bonds,baseline_2018,252,63,0.025,n_assets,future_rv_ann,86,0.04349312815083977,-0.00638207449170952,0.953494174311038
bonds,baseline_2018,252,63,0.025,n_assets,future_mdd,86,0.06368984312276733,-0.0038293350148562535,0.9720859066531695
bonds,baseline_2018,252,63,0.025,n_assets,future_tail_event,86,-0.1652054625270688,-0.16520546252706925,0.1284859177828241
bonds,baseline_2018,252,63,0.025,future_es,future_var,86,0.8466385780488499,0.8373565605083704,9.583636520774606e-24
bonds,baseline_2018,252,63,0.025,future_es,future_rv_ann,86,0.9521471614486864,0.9194100909613331,8.529306702318016e-36
bonds,baseline_2018,252,63,0.025,future_es,future_mdd,86,0.8994674995355292,0.8169723152313695,8.752920424697205e-22
bonds,baseline_2018,252,63,0.025,future_es,future_tail_event,86,0.4152900046964972,0.5303415073812559,1.506029459786537e-07
bonds,baseline_2018,252,63,0.025,future_var,future_rv_ann,86,0.8950203404563785,0.8682889612603206,2.6484493553738092e-27
bonds,baseline_2018,252,63,0.025,future_var,future_mdd,86,0.8508452574309783,0.7607084426297614,1.9386898140436637e-17
