market,period,window,horizon,tail_prob,dependent,spec_name,param,coef,t_hac,pvalue_hac,r2,n_obs
bonds,baseline_2018,252,63,0.025,future_es,dq_dr,dr_es_concentration,0.07276285311007342,1.182903535112612,0.23684738046408105,0.044707625647690485,86
bonds,baseline_2018,252,63,0.025,future_es,dq_dr_current_es,dq_es,-0.03824318951655218,-1.7420600089010532,0.08149794434486442,0.04473788828894898,86
bonds,baseline_2018,252,63,0.025,future_es,dq_dr_current_es,dr_es_concentration,0.07222117364226065,1.0994189107515195,0.27158538592850934,0.04473788828894898,86
bonds,baseline_2018,252,63,0.025,future_es,full,dq_es,0.012316051032613006,0.42067101467884505,0.6739953295715002,0.1579882556679788,86
bonds,baseline_2018,252,63,0.025,future_es,full,dr_es_concentration,0.0007278652478935094,0.010949810766761906,0.9912634896280414,0.1579882556679788,86
bonds,baseline_2018,252,63,0.025,future_var,dq_only,dq_es,-0.0103122851503606,-2.026862026409288,0.042676524968558185,0.06933486096603103,86
bonds,baseline_2018,252,63,0.025,future_var,dr_only,dr_es_concentration,-0.013968992201462173,-1.0165776845710897,0.30935437443817526,0.026553577406160822,86
bonds,baseline_2018,252,63,0.025,future_var,dq_dr,dq_es,-0.020132756986346957,-2.232148626820364,0.025605141476923523,0.08864627386022939,86
bonds,baseline_2018,252,63,0.025,future_var,dq_dr,dr_es_concentration,0.024576185844157772,0.9871380338142169,0.323574974568948,0.08864627386022939,86
bonds,baseline_2018,252,63,0.025,future_var,dq_dr_current_es,dq_es,-0.02058514741529076,-2.4561768776005946,0.014042402205942673,0.1053492432594707,86
bonds,baseline_2018,252,63,0.025,future_var,dq_dr_current_es,dr_es_concentration,0.018885346107844026,0.7342946591595804,0.4627691722695666,0.1053492432594707,86
bonds,baseline_2018,252,63,0.025,future_var,full,dq_es,0.002079169264570844,0.14142720671525041,0.8875324624250407,0.2807356988007471,86
bonds,baseline_2018,252,63,0.025,future_var,full,dr_es_concentration,-0.012449312941082558,-0.43703761461511503,0.6620840692723982,0.2807356988007471,86
bonds,baseline_2018,252,63,0.025,future_rv_ann,dq_only,dq_es,-0.0475972167850676,-1.15234584068309,0.24917898688286355,0.022158943617609395,86
bonds,baseline_2018,252,63,0.025,future_rv_ann,dr_only,dr_es_concentration,-0.04406927344893526,-0.37652567519921765,0.7065261314293652,0.00396468587970733,86
bonds,baseline_2018,252,63,0.025,future_rv_ann,dq_dr,dq_es,-0.12762837770847016,-1.5808356616484744,0.11391561824213577,0.041399236892937785,86
bonds,baseline_2018,252,63,0.025,future_rv_ann,dq_dr,dr_es_concentration,0.2002816888054023,0.866561529286516,0.38618229986155783,0.041399236892937785,86
