market,period,window,horizon,tail_prob,variable,aux_r2,vif
shares,baseline_2018,504,63,0.05,current_rv_ann,0.9733490085987608,37.52205630720004
shares,baseline_2018,504,63,0.05,current_hill_alpha,0.9429705802752508,17.5348093111673
shares,baseline_2018,504,63,0.05,n_assets,-inf,0.0
shares,covid_2020_2021,252,21,0.025,dq_es,0.9520445975490618,20.85270790966818
shares,covid_2020_2021,252,21,0.025,dr_es_concentration,0.9992338084657565,1305.1566812041822
shares,covid_2020_2021,252,21,0.025,current_es,0.9975721070921929,411.8797813463747
shares,covid_2020_2021,252,21,0.025,current_rv_ann,0.998526022808312,678.4365495200284
shares,covid_2020_2021,252,21,0.025,current_hill_alpha,0.9856176114175704,69.52948004906936
shares,covid_2020_2021,252,21,0.025,n_assets,-inf,0.0
shares,covid_2020_2021,252,21,0.05,dq_es,0.9840785732282593,62.80844137504833
shares,covid_2020_2021,252,21,0.05,dr_es_concentration,0.9983750068009654,615.3871909089032
shares,covid_2020_2021,252,21,0.05,current_es,0.9984966924930855,665.1998978256028
shares,covid_2020_2021,252,21,0.05,current_rv_ann,0.9948246649806772,193.22420602074519
shares,covid_2020_2021,252,21,0.05,current_hill_alpha,0.9139627362846926,11.622870798273471
shares,covid_2020_2021,252,21,0.05,n_assets,-inf,0.0
shares,full_2015,252,21,0.025,dq_es,0.9241023504603396,13.175638587825425
shares,full_2015,252,21,0.025,dr_es_concentration,0.8365490392593055,6.118042962050508
shares,full_2015,252,21,0.025,current_es,0.9920346888221548,125.54437330476375
shares,full_2015,252,21,0.025,current_rv_ann,0.9821331077808688,55.969442684007376
shares,full_2015,252,21,0.025,current_hill_alpha,0.6252044291220491,2.668121177786388
shares,full_2015,252,21,0.025,n_assets,-inf,0.0
shares,full_2015,252,21,0.05,dq_es,0.8298053701201304,5.875626044757356
shares,full_2015,252,21,0.05,dr_es_concentration,0.8802339432925104,8.349611129323126
shares,full_2015,252,21,0.05,current_es,0.988495434920201,86.92201687449356
